Object,Category,SpecType,R band (mag),Distance (pc),"Disk Major Axis """,Disk Diameter (AU),Inclination (degrees),RA (J2000),DEC (J2000),Star-Forming Region,Class,Fractional Infrared Luminosity
HD 32297,Debris,A0,8.1,113,13.8,1559,90,05 02 27.44,+07 27 39.7,,,0.0027
HD 34282,HAe,A3 V,9.8,312,1.88,587,59,28 05 16,-09 48 35.3,,,0.13
HD 35650,Debris,K6V,8.29,18,5.6,101,89,05 24 30.17,-38 58 10.8,,,0.000175
HD 35841,Debris,F3V,8.5,103,4.3,85,104.2,05 26 36.59,-22 29 23.7,,,0.003
HD 36546,Debris,B8,6.93,114,2,228,75,05 33 30.76,+24 37 43.7,,,0.004
HD 377,Debris,G2V,7.1,39,4.4,172,85,00 08 25.75,+06 37 00.5,,,0.0002
HD 38206,Debris,A0V,5.82,69.2,5,346,60,05 43 21.67,-18 33 26.9,,,0.00026
HD 38858,Debris,G2,5.4,15.2,15,228,44,05 48 34.94,-04 05 40.7,,,0.0001
HD 50571,Debris,F5V,7.26,33.6,15.47,520,68.2,06 50 01.02,-60 14 56.9,,,4.125
HD 53143,Debris,K1,6.9,18.4,12,221,45,10 06 59,-61 20 10.3,,,0.0003
HD 61005,Debris,G8,8.3,34.6,19,657,85,07 35 47.46,-32 12 14.0,,,0.0029
HD 70313,Debris,A3V,5.63,51.4,5.8,298,76,08 23 48.50,+53 13 11.0,,,6.6E-5
HD 71155,Debris,A0 V,3.9,37.5,0.1,3.8,30,08 25 39.63,-03 54 23.1,,,2.9E-5
HD 71722,Debris,A2IV,7.95,71.1,3.9,277,78,14 56 54.47,-35 41 43.7,,,0.0001
HD 74873,Debris,A1Vp,7.2,61,3.4,207,27,08 46 56.02,+12 06 35.8,,,3.37E-5
HD 92945,Debris,K1,7.2,21.6,10.2,220,63,10 43 28.27,-29 03 51.4,,,0.00076
HD 95086,Debris,A8III,7.5,90.4,12.01,1086,23.3,10 57 03.02,-68 40 02.5,Sco-Cen,,0.0014
HD 97048,HAe,A0,8.5,180,3.6,648,43,76 11 08,-77 39 17.5,,,0.22
HD 98363,Debris,A8 III,7.7,139,1.2,78,29.3,11 17 58.14,-64 02 33.3,Sco-Cen,,0.041
HD 98800B,Trans,K5,8.5,50,0.25,12,67,11 22 05.24,-24 46 39.1,,,0.9
Hen 3-600A,TT,M4,50,0.4,20,36,0.4,11 10 27.84,-37 31 51.7,,,1.1
HH 212,YSO,-,400,0.38,152,90,19,05 43 51.41,-01 02 53.1,Orion,0,0.02
HH 270 MMS2,YSO,,413,0.29,34,2.6,870,05 51 22.56,+02 55 42.8,Orion flat,,0.11
HH 30,TT,K7,16.4,140,3,420,83,28 04 31,+18 12 24.8,Taurus,,0.07
HH 48 NE,TT,K7,19.6,190,1.72,80,4.3,11 04 22.8,-77 18 08.0,Chamaeleon I,,0.4
HIP 67497,Debris,F0,8.7,107.4,1.09,80,26,13 49 54.50,-50 14 23.9,,,0.0011
HIP 79977,Debris,F2,8.7,123,4,84,1.6,16 19 29.24,-21 24 13.3,,,0.01
HK Tau B,TT,M1,14,140,1.5,210,84,14 04 31,+24 24 15.0,Taurus,,0.07
HL Tau,TT,K5,11.4,140,1.39,195,47,04 31 38.47,+18 13 58.1,Taurus,,0.025
HOPS 124,YSO,,398,0.47,46,4.3,870,05 39 19.98,-07 26 11.2,Orion,0,0.11
HOPS 136,YSO,,440,2,880,90,14.5,05 38 46.54,-07 05 47.5,Orion I,,0.1375
HOPS 140,YSO,,390,1.35,57,12.3,870,05 38 46.28,-07 01 53.5,Orion I,,0.11
HOPS 157,YSO,,388,0.65,40,5.9,870,05 37 56.57,-06 56 39.2,Orion I,,0.11
HOPS 163,YSO,M5,16,386,0.84,68,7.6,05 37 17.27,-06 36 18.1,Orion,,0.11
HOPS 56B,YSO,,393,0.89,59,8.1,870,05 35 19.47,-05 15 32.7,Orion,0,0.11
HOPS 65,TT,K5,16.1,393,1.78,76,16.2,05 35 21.55,-05 09 38.7,Orion I,,0.11
HR 4796A,Debris,A0,5.8,67,2.1,141,76,44 12 36,-39 52 10.0,,,0.005
HR 8799,Debris,A5?,5.8,40,28.4,1136,26,23 07 28.71,+21 08 03.3,,,0.0001
HT Lup A,TT,K2,10.5,154,0.156,24,48,15 45 12.85,-34 17 31.0,Lupus I II,,0.035
HV Tau C,TT,M0,13.2,140,1.2,168,84,24 04 38,+26 10 41.7,Taurus,,0.07
IC 348-IR,HAe,B7.5,200,8,1600,87,100,03 43 58.8,+32 01 52,,,0.08
IM Lup,TT,M0,12.1,158,4,632,48,61 24 15,-37 56 05.9,,,0.05
IP Tau,TT,M0,12.5,130,0.53,69,45,04 24 57.08,+27 11 56.5,Taurus II,,0.12
IQ Tau,TT,M0.5,12.4,131,1.47,193,62,40 04 29,+26 06 44.8,Taurus II,0,0.14
IRAS 04016+2610,YSO,,140,73,1200,3,,04 04 43.07,+26 18 56.4,Taurus I,,0.14
IRAS 04158+2805,TT,M3,18.5,140,8,1120,62,04 18 58.14,+28 12 23.3,,,0.65
IRAS 04302+2247,YSO,,140,6,840,90,42.9,04 33 16.45,+22 53 20.7,,,0.14
IRAS 04325+2402,TT,,140,1,60,83,5.7,05 56 04,+24 08 14,,,0.18
IRAS 04385+2550,YSO,M0.5,15.7,140,4.28,599.2,52,04 41 38.82,+25 56 26.8,,,1.4
IRAS 16220-2542,TT,M4.5,14.6,140,0.209,34,1,16 25 02.08,-24 59 32.2,Ophiuchus,,0.2
IRAS 16246-2430,TT,K5,17.7,135,0.731,70,3.7,16 27 38.31,-24 36 58.4,Ophiuchus,,0.2
IRAS 16246-2436,YSO,K6,140,0.191,45,1,1300,45 16 27,-24 43 15.0,Ophiuchus,,0.2
IRAS 16285-2355,YSO,,140,0.,,,,96 46 45.7,-63 16 31,,,0.021
IRAS 18151-1208,YSO,,3000,3.3,9900,60,4.1,18 17 58.2,-12 07 28,,,0.8
ISO Oph 1,TT,K4,14.9,143,0.175,74,0.9,19 16 25,-24 15 42.4,Ophiuchus,,0.2
ISO Oph 112,YSO,M4,140,0.164,0,0.8,1300,16 27 11.17,-24 40 46.6,Ophiuchus,,0.2
ISO Oph 117,YSO,M3,17.5,145,0.225,52,1.1,16 27 13.81,-24 43 31.6,Ophiuchus,,0.2
ISO Oph 127,YSO,,140,0.519,84,2.6,1300,16 27 18.37,-24 39 14.6,Ophiuchus,,0.2
ISO Oph 132,YSO,K7,140,0.21,0,1.1,1300,16 27 21.45,-24 41 42.9,Ophiuchus,,0.2
ISO Oph 165,YSO,M2,140,0.261,21,1.3,1300,16 27 38.93,-24 40 20.5,Ophiuchus,,0.2
ISO Oph 17,TT,M0,140,0.9,42,1300,2,16 26 10.32,-24 20 54.6,Ophiuchus,,0.024
ISO Oph 170,YSO,,140,0.207,46,1,1300,16 27 41.60,-24 46 44.6,Ophiuchus,,0.2
ISO Oph 2,YSO,M0,140,1.03,38,41.2,1300,16 25 38.11,-24 22 37.1,Ophiuchus,0,0.025
ISO Oph 200,YSO,,18,140,0.123,28,0.6,16 31 43.75,-24 55 24.6,Ophiuchus,,0.2
ISO Oph 204,TT,,16.8,140,0.116,37,5.8,16 31 52.11,-24 56 15.8,Ophiuchus,,0.02
ISO Oph 21,YSO,,140,0.207,77,1,1300,16 26 17.23,-24 23 45.2,Ophiuchus,,0.2
ISO Oph 43,YSO,,140,0.268,78,1.3,1300,16 26 27.53,-24 41 53.6,Ophiuchus,,0.2
ISO Oph 46,YSO,K6,140,0.157,0,0.8,1300,27 16 26,-24 22 57.1,Ophiuchus,,0.2
ISO Oph 51,YSO,M0,17.4,136,0.38,31,1.9,16 26 36.82,-24 15 51.7,Ophiuchus,,0.2
ISO Oph 54,YSO,M4,140,1.7,32,35.4,1300,16 26 40.46,-24 27 14.3,Ophiuchus,,0.048
ISO Oph 83,TT,K7,18.5,134,0.248,64,1.2,16 26 56.76,-24 13 51.3,Ophiuchus,,0.2
ISO Oph 93,YSO,M3,140,0.198,0,1,1300,16 27 02.99,-24 26 14.6,Ophiuchus,,0.2
ISO Oph 94,YSO,M1,140,0.32,0,1.6,1300,16 27 03.58,-24 20 05.4,Ophiuchus,,0.2
Kappa CrB,Debris,K1IV,4.06,31.1,14.15,440,59,15 51 13.93,+35 39 26.6,,,5.893
L1527 IRS,YSO,,140,1.8,252,90,18.4,04 39 53.59,+26 03 05.5,Taurus,0,0.09798
L1551 IRS 5,YSO,,147,0.12,18,2,7000,04 31 34,+18 08 05,Taurus,,0.06
lambda Boo,Debris,A0p,4.1,30.3,5.6,170,48,14 16 23.02,+46 05 17.9,,,5.1E-5
LFAM 26,YSO,,140,0.409,71,2,1300,99 16 27,-24 36 29.6,Ophiuchus,,0.2
LFAM 3,YSO,K7,140,1.3,72,52,1300,37 16 26,-24 24 39.4,Ophiuchus,,0.025
LkCa 15,TT,K5,11.8,140,9.3,1302,52,39 40 04,+22 21 03.5,,,1.8
LkHa 263 C,TT,M0,13.7,275,1.1,302.5,87,02 56 08.60,+20 03 40.7,,,0.04
LkHa 330,YSO,G2,11.2,250,0.5,125,42,03 45 48.28,+32 24 11.9,,,0.33
LkHa 358,YSO,M5.5,18,140,2.14,299.6,28,04 31 36.13,+18 13 43.3,,,1.8
M17-SO1,YSO,,2200,9,19800,77,36,18 20 26.19,-16 12 10.5,,,0.25
MWC 480,HAe,A2e,7.8,161,1.3,209,36,31 04 58,+29 50 37.0,Taurus II,,0.14
MWC 758,HAe,A3e,8.1,200,2.45,490,46,39 27 05,+25 19 57.2,,,2.8
MY Lup,TT,K0,11.1,156,1.12,175,73,77 16 00,-41 55 30.9,Lupus II,,0.043
NGC 1333 IRAS 3B,YSO,,230,1.78,409,45,6.6,03 25 36.3,+30 45 15.0,Perseus,0,0.27
OPH-E_MM3,YSO,,140,1.5,210,90,4.3,16 27 05.91,-24 37 08.2,,,0.35
Orion 139-409,YSO,,414,0.4,165.6,40,0.6,05 35 13.91,-05 24 09.4,,,0.7
Orion 321-602,TT,,22,440,0.6,264,85,05 35 32.10,-05 26 01.9,Orion,,0.05586
PDS 144N,HAe,A2IV,11.6,145,0.8,116,83,15 49 15.53,-26 00 50.1,,,0.03
PDS 66,TT,K1 IV,10.3,86,0.82,71,32,13 22 07.55,-69 38 12.2,,,0.09
PDS 70,TT,K5,11.3,140,2.5,350,62,14 08 10.15,-41 23 52.5,,,0.06
PV Cephei,HAe,A5,11.1,500,0.68,340,62,15 20 45,+67 57 38.9,,,1.07
rho Vir,Debris,A0V,4.8,36.9,5,185,70,12 41 53.06,+10 14 08.3,,,5.1e-05
RU Lup,TT,M0,10.2,154,0.82,126,19,33 15 56,-37 49 15.5,Lupus II,,0.025
RXJ 1633.9-2442,YSO,K7,12.9,141,0.75,48,37.5,16 33 55.60,-24 42 05.0,Ophiuchus,,0.02
RY Tau,TT,K1,12.8,128,0.36,46,65,64 04 21,+28 26 35.6,Taurus II,,0.13
SR 20 W,TT,K5,16.3,148,0.837,63,4.2,16 28 23.32,-24 22 40.5,Ophiuchus,,0.2
SR 21,TT,G3,140,1.4,196,60,0.6,17 16 27,-24 19 14.7,,,2.5
SR 22,TT,M4.5,14.5,134,0.118,32,0.6,16 25 24.33,-24 29 44.3,Ophiuchus,,0.2
SR 24 N,TT,K1,13.5,140,1.087,52,5.4,16 26 58.43,-24 45 31.8,Ophiuchus,,0.2
SR 24 S,TT,K1,14.2,114,1.02,47,29.1,42 16 26,-24 45 35.0,Ophiuchus II,,0.035
SR 4,TT,K7,11.7,134,0.46,62,22,16 25 56.17,-24 20 48.2,Ophiuchus II,,0.034
Sz 114,TT,M5,14.4,162,0.72,117,21,16 09 01.85,-39 05 12.4,Lupus II,,0.047
Sz 129,TT,K7,11.9,161,0.94,151,34,15 59 16.47,-41 57 10.3,Lupus II,,0.038
Tau Ceti,Debris,G8 V,3.5,3.6,15.3,55,35,70 17 01,-15 56 14.9,,,1.2E-5
TW Hya,TT,K7,11.4,56,8,448,0,51 11 01,-34 42 17.6,,,0.09
TWA 25,Debris,M0,10.9,54,2.89,156,75,12 15 30.72,-39 48 42.6,,,0.1375
TWA 7,Debris,M2 Ve,11,34.5,2.03,28,14.8,10 42 30.11,-33 40 16.2,,,0.0022
UX Tau A,TT,G5 V,140,0.29,41,35,1,04 30 03.99,+18 13 49.4,Taurus,,0.3
UY Aur,TT,K7,10,140,30,4200,42,38 45 04,+30 47 13.9,,,5.8
UZ Tau E,TT,M1,11.2,131,1.24,162,56,36 04 32,+25 52 31.1,Taurus II,,0.12
V1094 Sco,TT,K6,12.5,154,3.9,601,53,16 08 36.18,-39 23 02.5,Lupus II,,0.2
V4046 Sgr,TT,K5,9.6,73,2.5,183,32,13 18 14,-32 47 34.5,,,0.23
V883 Ori,YSO,,414,0.3,124,38,10,05 38 18.10,-07 02 26.0,Orion I,,0.03
V892 Tau,HAe,B8,14.4,140,0.51,71,59,18 04 18,+28 19 15.5,Taurus,,0.8
V935 Sco,TT,K5,11.7,143,0.184,54,0.9,16 22 18.52,-23 21 48.1,Ophiuchus,,0.2
Vega,Debris,A0,0.1,7.8,140,1092,0,18 36 56.34,+38 47 01.3,,,16.99
VSSG 4,YSO,M0,140,0.446,33,2.2,1300,16 26 37.77,-24 23 00.6,Ophiuchus,,0.2
WaOph 6,TT,K7,12,123,1.675,206,47,15 16 48,-14 16 36.0,Ophiuchus,,0.056
WL 10,YSO,K7,17.7,131,0.294,59,1.5,16 27 09.09,-24 34 08.0,Ophiuchus,,0.2
WL 16,HAe,B8-A7,140,7,980,62,43.8,44 16 27,-24 37 27.2,,,0.16
WL 18,TT,K6.5,19.3,133,0.103,21,0.5,16 26 48.96,-24 38 25.1,Ophiuchus,,0.2
WL 20 S,YSO,,140,0.59,82.6,0.3,1330,16 27 15.72,-24 38 46,,,2
WL 3,YSO,K7,140,0.21,0,1.1,1300,16 27 19.20,-24 28 43.8,Ophiuchus,,0.2
WSB 38,TT,G5,13.9,110,0.132,0,0.7,37 16 26,-24 11 59.9,Ophiuchus,,0.2
WSB 52,TT,M0,15.8,136,0.47,54,15.7,27 16 27,-24 39 15.5,Ophiuchus II,,0.03
WSB 60,TT,M4.5,16.6,137,1.01,22,30.6,16 28 16.65,-24 36 57.5,Ophiuchus,,0.033
WSB 63,TT,M2,15.2,138,0.172,0,0.9,16 28 54.06,-24 47 44.3,Ophiuchus,,0.2
WSB 67,TT,,13.2,145,0.153,45,0.8,16 30 23.39,-24 54 16.1,Ophiuchus,,0.2
WSB 82,TT,,11.5,156,1.64,61,60.7,16 39 45.4,-24 02 03.9,Ophiuchus,,0.027
WW Cha,TT,K5,13.3,160,1.32,211.2,0.5,22 11 10,-76 34 57.9,,,2.5
zeta Lep,Debris,A0 V,3.4,21.6,0.28,6,30,05 46 57.34,-14 49 19.0,,,0.00011
[MR81] H alpha 17 NE,TT,M2e,16.9,150,0.38,57,20,19 10 43.4,-36 59 09,,,0.13
